# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715580.71214 0.181052 0.327368 -0.036956 0.787530 -0.237831 0.557461 0.111668 0.0001282839 0.0000785910 0.0002430613 0.0004738663 0.0000856027 0.0006292768 0.0013629966 0.0017045221 -0.0003754086 0.0028934011 -0.0003621730 0.0005547556
1403715580.76214 0.205753 0.379509 -0.042967 0.786638 -0.249285 0.554698 0.106625 0.0001241741 0.0000803771 0.0002196872 0.0004561112 0.0000696550 0.0005520888 0.0008738691 0.0012683051 -0.0001997606 0.0021545019 -0.0003219095 0.0004626614
1403715580.81214 0.231837 0.433586 -0.047498 0.784755 -0.260652 0.553395 0.099875 0.0001310514 0.0000883929 0.0002229613 0.0004509780 0.0000622408 0.0005475417 0.0010206851 0.0015543014 -0.0002420668 0.0027255218 -0.0003984400 0.0005266491
1403715580.86214 0.257524 0.478016 -0.057284 0.784078 -0.271197 0.550477 0.092996 0.0001372672 0.0000958349 0.0002214505 0.0004446248 0.0000521159 0.0005297773 0.0010563289 0.0016359106 -0.0002564426 0.0029342066 -0.0004235447 0.0005891510
1403715580.91214 0.274008 0.503972 -0.058509 0.782219 -0.284079 0.548622 0.080287 0.0001457458 0.0001044858 0.0002213386 0.0004384174 0.0000437110 0.0005127650 0.0010491640 0.0016348811 -0.0002456476 0.0029857329 -0.0003814860 0.0006499543
1403715580.96214 0.294658 0.534853 -0.061755 0.781712 -0.294500 0.545276 0.069788 0.0001573883 0.0001144667 0.0002246230 0.0004318338 0.0000368655 0.0005027719 0.0011921036 0.0018757831 -0.0002923202 0.0034405261 -0.0004200592 0.0007195064
1403715581.01214 0.320001 0.578164 -0.059883 0.782983 -0.299409 0.541238 0.065980 0.0001499445 0.0001110607 0.0002002237 0.0004282663 0.0000238029 0.0004418530 0.0009956701 0.0015297768 -0.0002124248 0.0029144803 -0.0003051941 0.0006819468
1403715581.06214 0.342758 0.613605 -0.063506 0.787140 -0.300774 0.534410 0.065974 0.0001572334 0.0001119254 0.0002047128 0.0004274233 0.0000222186 0.0004354846 0.0009925300 0.0014053380 -0.0002171039 0.0025710198 -0.0002455467 0.0007738144
1403715581.11214 0.350735 0.598961 -0.050570 0.789919 -0.303302 0.529171 0.063358 0.0001039016 0.0000929248 0.0001043145 0.0004135928 -0.0000000059 0.0002326524 0.0002825059 0.0002704935 -0.0000017538 0.0004412053 0.0000343156 0.0004377314
1403715581.16214 0.368051 0.606499 -0.045071 0.793479 -0.301451 0.524140 0.069250 0.0001032931 0.0000919206 0.0001016580 0.0004115822 0.0000012319 0.0002230962 0.0002678297 0.0002446026 -0.0000074461 0.0003900352 0.0000276505 0.0004306877
1403715581.21214 0.379982 0.610826 -0.033451 0.795870 -0.296630 0.522000 0.078216 0.0000984642 0.0000860059 0.0000989754 0.0004116606 0.0000098372 0.0002149033 0.0002609535 0.0002309166 -0.0000038960 0.0003591200 0.0000254401 0.0004264521
1403715581.26214 0.396102 0.611312 -0.028483 0.795234 -0.291959 0.524360 0.086075 0.0000949256 0.0000821299 0.0000969937 0.0004103183 0.0000146684 0.0002122850 0.0002572873 0.0002180237 -0.0000069078 0.0003313188 0.0000236169 0.0004382195
1403715581.31214 0.417300 0.616132 -0.035023 0.793121 -0.286302 0.529562 0.092488 0.0000874535 0.0000774618 0.0000887160 0.0003985780 0.0000196586 0.0001999040 0.0002368513 0.0001817473 -0.0000013583 0.0002651420 0.0000281427 0.0004177978
1403715581.36214 0.426047 0.604530 -0.029902 0.792174 -0.279343 0.534245 0.094917 0.0000773186 0.0000755257 0.0000752222 0.0003660937 0.0000407520 0.0001691896 0.0002129348 0.0001481064 -0.0000109437 0.0002049429 -0.0000031312 0.0003939098
1403715581.41214 0.437722 0.588401 -0.028887 0.792051 -0.269616 0.539039 0.096950 0.0000730602 0.0000716918 0.0000715150 0.0003636019 0.0000438554 0.0001648847 0.0002090688 0.0001417529 -0.0000129173 0.0001914739 -0.0000093842 0.0003900185
1403715581.46214 0.451764 0.574198 -0.027235 0.792822 -0.257142 0.543478 0.099711 0.0000661797 0.0000654683 0.0000648185 0.0003596538 0.0000494547 0.0001557460 0.0002001906 0.0001284798 -0.0000195522 0.0001693654 -0.0000216928 0.0003795667
1403715581.51214 0.462248 0.552222 -0.025561 0.795587 -0.239401 0.545951 0.108010 0.0000594560 0.0000550229 0.0000593668 0.0003558240 0.0000535394 0.0001509149 0.0001934908 0.0001186141 -0.0000233645 0.0001537053 -0.0000291877 0.0003775282
1403715581.56214 0.473739 0.528667 -0.024719 0.797328 -0.218532 0.550403 0.116486 0.0000538753 0.0000429862 0.0000547651 0.0003509171 0.0000577954 0.0001480041 0.0001892328 0.0001126494 -0.0000241426 0.0001441000 -0.0000326748 0.0003766549
1403715581.61214 0.488332 0.506707 -0.026916 0.800721 -0.197892 0.551958 0.122585 0.0000487359 0.0000302984 0.0000495626 0.0003461604 0.0000590920 0.0001450844 0.0001843232 0.0001059458 -0.0000246330 0.0001341920 -0.0000358454 0.0003749625
1403715581.66214 0.502363 0.484044 -0.031975 0.804115 -0.177561 0.553450 0.124756 0.0000454846 0.0000191593 0.0000448882 0.0003459549 0.0000568703 0.0001410219 0.0001821019 0.0001022654 -0.0000224052 0.0001289720 -0.0000357110 0.0003758097
1403715581.71214 0.521590 0.466960 -0.037439 0.810840 -0.157076 0.549512 0.126101 0.0000410404 0.0000099937 0.0000367227 0.0003280718 0.0000526738 0.0001260445 0.0001769105 0.0000958934 -0.0000197859 0.0001212843 -0.0000350738 0.0003673572
1403715581.76214 0.538776 0.445650 -0.046671 0.817450 -0.135627 0.545782 0.124506 0.0000383021 0.0000026187 0.0000293045 0.0003076639 0.0000508101 0.0001099521 0.0001753802 0.0000931434 -0.0000165103 0.0001186920 -0.0000340096 0.0003639783
1403715581.81214 0.557475 0.426204 -0.052732 0.824122 -0.115566 0.541543 0.119162 0.0000341282 -0.0000008229 0.0000186885 0.0002670232 0.0000478851 0.0000855911 0.0001740952 0.0000911741 -0.0000137664 0.0001174048 -0.0000330286 0.0003510317
1403715581.86214 0.576699 0.407678 -0.057009 0.828218 -0.095943 0.540488 0.112793 0.0000318634 -0.0000027480 0.0000120241 0.0002405347 0.0000408865 0.0000669016 0.0001733830 0.0000897472 -0.0000124179 0.0001170855 -0.0000327838 0.0003395087
