# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715580.712142944335938,0.00400,0.00026,0.00102,0.00000,0.00000,0.00228,0.00756
1403715580.762142896652222,0.00333,0.00018,0.00247,0.00000,0.00000,0.00159,0.00759
1403715580.812143087387085,0.00426,0.00025,0.00102,0.00000,0.00000,0.00183,0.00737
1403715580.862143039703369,0.00413,0.00026,0.00047,0.00000,0.00000,0.00217,0.00703
1403715580.912142992019653,0.00367,0.00027,0.00038,0.00000,0.00000,0.00260,0.00693
1403715580.962142944335938,0.00366,0.00026,0.00027,0.00000,0.00000,0.00222,0.00641
1403715581.012142896652222,0.00424,0.00026,0.00037,0.00000,0.00000,0.00232,0.00719
1403715581.062143087387085,0.00411,0.00026,0.00019,0.00000,0.00000,0.00241,0.00697
1403715581.112143039703369,0.00388,0.00027,0.01306,0.00000,0.00000,0.00154,0.01876
1403715581.162142992019653,0.00434,0.00028,0.00365,0.00000,0.00000,0.00184,0.01011
1403715581.212142944335938,0.00375,0.00027,0.00251,0.00000,0.00000,0.00257,0.00909
1403715581.262142896652222,0.00166,0.00011,0.00109,0.00000,0.00000,0.00108,0.00394
1403715581.312143087387085,0.00155,0.00011,0.00159,0.00000,0.00000,0.00111,0.00435
1403715581.362143039703369,0.00404,0.00027,0.00748,0.00000,0.00000,0.00097,0.01276
1403715581.412142992019653,0.00376,0.00019,0.00236,0.00000,0.00000,0.00256,0.00888
1403715581.462142944335938,0.00381,0.00027,0.00159,0.00000,0.00311,0.00258,0.01136
1403715581.512142896652222,0.00423,0.00027,0.00207,0.00017,0.00286,0.00245,0.01206
1403715581.562143087387085,0.00368,0.00028,0.00071,0.00028,0.00361,0.00245,0.01102
1403715581.612143039703369,0.00382,0.00029,0.00042,0.00062,0.00701,0.00245,0.01461
1403715581.662142992019653,0.00374,0.00029,0.00061,0.00168,0.00083,0.00251,0.00966
1403715581.712142944335938,0.00373,0.00031,0.00534,0.00052,0.00682,0.00092,0.01764
1403715581.762142896652222,0.00359,0.00034,0.00069,0.00388,0.00088,0.00086,0.01025
1403715581.812143087387085,0.00436,0.00036,0.00571,0.00407,0.00340,0.00139,0.01929
1403715581.862143039703369,0.00468,0.00036,0.00434,0.00307,0.00100,0.00182,0.01528
1403715581.912142992019653,0.00493,0.00035,0.00047,0.00328,0.00299,0.00238,0.01439
1403715581.962142944335938,0.00369,0.00037,0.00520,0.00324,0.00586,0.00162,0.01999
1403715582.012142896652222,0.00468,0.00036,0.00116,0.00400,0.00219,0.00219,0.01458
1403715582.062143087387085,0.00376,0.00035,0.00067,0.00308,0.00018,0.00227,0.01031
1403715582.112143039703369,0.00394,0.00035,0.00178,0.00269,0.00106,0.00224,0.01206
1403715582.162142992019653,0.00392,0.00034,0.00106,0.00282,0.00182,0.00207,0.01201
1403715582.212142944335938,0.00444,0.00036,0.00023,0.00288,0.00001,0.00151,0.00943
1403715582.262142896652222,0.00402,0.00033,0.00029,0.00270,0.00186,0.00234,0.01154
1403715582.312143087387085,0.00439,0.00032,0.00160,0.00284,0.00294,0.00209,0.01418
1403715582.362143039703369,0.00371,0.00034,0.00022,0.00340,0.00010,0.00194,0.00971
1403715582.412142992019653,0.00428,0.00032,0.00055,0.00337,0.00265,0.00087,0.01203
1403715582.462142944335938,0.00494,0.00050,0.00155,0.00438,0.00444,0.00226,0.01808
1403715582.512142896652222,0.00467,0.00050,0.00018,0.00651,0.00000,0.00204,0.01390
1403715582.562143087387085,0.00377,0.00034,0.00529,0.00497,0.00203,0.00163,0.01802
1403715582.612143039703369,0.00399,0.00036,0.00108,0.00559,0.00309,0.00162,0.01574
1403715582.662142992019653,0.00357,0.00037,0.00401,0.00548,0.00000,0.00143,0.01486
1403715582.712142944335938,0.00346,0.00038,0.00311,0.00632,0.00000,0.00207,0.01534
1403715582.762142896652222,0.00422,0.00034,0.00217,0.00587,0.00000,0.00167,0.01427
1403715582.812143087387085,0.00408,0.00035,0.00324,0.00601,0.00000,0.00200,0.01568
1403715582.862143039703369,0.00390,0.00038,0.00550,0.00575,0.00000,0.00183,0.01735
1403715582.912142992019653,0.00392,0.00036,0.00312,0.00572,0.00097,0.00161,0.01570
1403715582.962142944335938,0.00436,0.00038,0.00466,0.00235,0.00000,0.00105,0.01280
1403715583.012142896652222,0.00443,0.00038,0.00126,0.00655,0.00000,0.00254,0.01516
1403715583.062143087387085,0.00414,0.00037,0.00586,0.00591,0.00000,0.00187,0.01816
1403715583.112143039703369,0.00413,0.00038,0.00443,0.00580,0.00000,0.00183,0.01657
1403715583.162142992019653,0.00379,0.00037,0.00614,0.00443,0.00001,0.00155,0.01628
1403715583.212142944335938,0.00435,0.00037,0.00248,0.00514,0.00093,0.00166,0.01494
1403715583.262142896652222,0.00152,0.00017,0.00176,0.00177,0.00056,0.00134,0.00711
1403715583.312143087387085,0.00560,0.00052,0.00510,0.00344,0.00722,0.00145,0.02334
1403715583.362143039703369,0.00513,0.00036,0.00537,0.00315,0.00198,0.00125,0.01724
